yh [-],xl [-],c_m [user_defined],c_s [user_defined],vfrac_liqwater [-],vfrac_swe [-],v_liqwater [mm*mm*m],v_swe [mm*mm*m],v_air [mm*mm*m]
0,0,0,0.135784890366924,0,1,0,32.0384461353624,5
0,1,0,0.135784890366924,0,1,0,32.0384461353624,5
0,2,0,0.135784890366924,0,1,0,32.0384461353624,5
0,3,0,0.135784890366924,0,1,0,32.0384461353624,5
0,4,0,0.135784890366924,0,1,0,32.0384461353624,5
0,5,0,0.135784890366924,0,1,0,32.0384461353624,5
0,6,0,0.135784890366924,0,1,0,32.0384461353624,5
0,7,0,0.135784890366924,0,1,0,32.0384461353624,5
0,8,0,0.135784890366924,0,1,0,32.0384461353624,5
0,9,0,0.135784890366924,0,1,0,32.0384461353624,5
1,0,0,0.135784890366924,0,1,0,32.0384461353624,5
1,1,0,0.135784890366924,0,1,0,32.0384461353624,5
1,2,0,0.135784890366924,0,1,0,32.0384461353624,5
1,3,0,0.135784890366924,0,1,0,32.0384461353624,5
1,4,0,0.135784890366924,0,1,0,32.0384461353624,5
1,5,0,0.135784890366924,0,1,0,32.0384461353624,5
1,6,0,0.135784890366924,0,1,0,32.0384461353624,5
1,7,0,0.135784890366924,0,1,0,32.0384461353624,5
1,8,0,0.135784890366924,0,1,0,32.0384461353624,5
1,9,0,0.135784890366924,0,1,0,32.0384461353624,5
2,0,0,0.135784890366924,0,1,0,32.0384461353624,5
2,1,0,0.135784890366924,0,1,0,32.0384461353624,5
2,2,0,0.135784890366924,0,1,0,32.0384461353624,5
2,3,0,0.135784890366924,0,1,0,32.0384461353624,5
2,4,0,0.135784890366924,0,1,0,32.0384461353624,5
2,5,0,0.135784890366924,0,1,0,32.0384461353624,5
2,6,0,0.135784890366924,0,1,0,32.0384461353624,5
2,7,0,0.135784890366924,0,1,0,32.0384461353624,5
2,8,0,0.135784890366924,0,1,0,32.0384461353624,5
2,9,0,0.135784890366924,0,1,0,32.0384461353624,5
3,0,0,0.135784890366924,0,1,0,32.0384461353624,5
3,1,0,0.135784890366924,0,1,0,32.0384461353624,5
3,2,0,0.135784890366924,0,1,0,32.0384461353624,5
3,3,0,0.135784890366924,0,1,0,32.0384461353624,5
3,4,0,0.135784890366924,0,1,0,32.0384461353624,5
3,5,0,0.135784890366924,0,1,0,32.0384461353624,5
3,6,0,0.135784890366924,0,1,0,32.0384461353624,5
3,7,0,0.135784890366924,0,1,0,32.0384461353624,5
3,8,0,0.135784890366924,0,1,0,32.0384461353624,5
3,9,0,0.135784890366924,0,1,0,32.0384461353624,5
4,0,0,0.135784890366924,0,1,0,32.0384461353624,5
4,1,0,0.135784890366924,0,1,0,32.0384461353624,5
4,2,0,0.135784890366924,0,1,0,32.0384461353624,5
4,3,0,0.135784890366924,0,1,0,32.0384461353624,5
4,4,0,0.135784890366924,0,1,0,32.0384461353624,5
4,5,0,0.135784890366924,0,1,0,32.0384461353624,5
4,6,0,0.135784890366924,0,1,0,32.0384461353624,5
4,7,0,0.135784890366924,0,1,0,32.0384461353624,5
4,8,0,0.135784890366924,0,1,0,32.0384461353624,5
4,9,0,0.135784890366924,0,1,0,32.0384461353624,5
5,0,0,0.135784890366924,0,1,0,32.0384461353624,5
5,1,0,0.135784890366924,0,1,0,32.0384461353624,5
5,2,0,0.135784890366924,0,1,0,32.0384461353624,5
5,3,0,0.135784890366924,0,1,0,32.0384461353624,5
